Year Completed,Status,Job Number,Sector,Job Name,Contractor,Project Address,State,Latitude,Longitude,Link
In Progress,Active,AUZUS0307,Education,Herndon Elementary School Renovations and Additions,Howard Shockey & Sons,"630 Dranesville Rd, Herndon, VA 20170",Virginia,38.97592405,-77.37674225,
2018,Complete,AUZUS0095,Education,Jasper High School,Cadence McShane,6800 Archgate Dr Plano TX 75024,Texas,33.06753627,-96.78321091,
2024,Complete,AUZUS0208,Education,PWA,Turner Construction,"6801 River Place Blvd., Austin,TX, 78726",Texas,30.39546429,-97.84162553,
2016,Complete,AUZUS0055,Education,Gramercy ER,Z Constructors,6902 NE Zac Lentz Prkwy Victoria TX 77904,Texas,28.86506776,-96.991242,
2017,Complete,AUZUS0066,Education,UNT Residence,S&G Joint Venture,7300 University Hills Blvd Dallas TX 75241,Texas,32.65954501,-96.80352879,
In Progress,Active,AUZUS0310,Education,LBJ High School Athletics Building and Central Plant,Rogers O'Brien,"7309 Lazy Creek Dr. Austin, TX 78724",Texas,30.31365456,-97.65686232,
2020,Complete,AUZUS0138,Education,El Paso High School,F.T James Construction,800 E Schuster Ave El Paso TX 79902,Texas,31.77291487,-106.4908125,
2025,Complete,AUZUS0213,Education,Fine Arts + Dual Language Academy,JOERIS General Contractors,"818 W. Park Ave  Arlington TX, 76013",Texas,32.72012388,-97.11637086,
2020,Complete,AUZUS0139,Education,Strike Middle School,Cadence McShane,8798 Scotty's LK Ln The Colony TX 75056,Texas,33.12105327,-96.90775913,https://www.auzmet.com/strike-middle-school
In Progress,Active,AUZUS0270,Education,CISD North HS & 9th,Balfour Beatty,"9100 S Hulen, Fort Worth, TX 76123",Texas,32.6104296,-97.39437498,
2025,Complete,AUZUS0245,Education,YDSP Early Learning Center + Brave,Jordan Foster Construction,"9311 Nakitu Dr, El Paso, TX 79907",Texas,31.6835664,-106.323455,
2024,Complete,AUZUS0233,Education,Forest Meadow Middle School,CORE Construction,"9373 Whitehurst Drive  Dallas, TX 75243",Texas,32.90119439,-96.7400199,https://www.auzmet.com/forest-meadows
2022,Complete,AUZUS0159,Education,YDSP,Jordan Foster - El Paso,"9473 Socorro Rd El Paso TX, 79907",Texas,31.68155549,-106.3177764,
2023,Complete,AUZUS0157,Education,University of Texas Practice,AE Com Hunt,"CNR 20th St & Robert Dedman Dr Austin, TX 78712",Texas,30.28102144,-97.73184273,
2018,Complete,AUZUS0080,Education,UoH - CW Fabrication (Fabrication Project),Oakcliff Mirror and Glass,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76163032,-96.89351482,
2018,Complete,AUZUS0079,Education,UTA - CW Fabrication (Fabrication Project),Oakcliff Mirror and Glass,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76163032,-96.89351482,
